,city,lat,lon,datetime,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,weather_main,weather_description,weather_icon,clouds,wind_speed,wind_deg,wind_gust,visibility,pop,rain,snow,pod,feels_like_norm,humidity_norm,clouds_norm,wind_speed_norm,visibility_norm,rain_norm,snow_norm,weather_rating,city_id
0,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 00:00:00,10.17,9.72,9.12,10.17,1013,1013,1008,95,Rain,light rain,10n,70,2.52,68,2.8200000000000003,10000,0.25,0.17,0,n,2.956437560503388,1.8,2.0999999999999996,0.5956591639871383,0.0,0.09320175438596492,,7.54529847887649,0
1,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 03:00:00,9.55,8.49,8.32,9.55,1013,1013,1009,94,Clouds,scattered clouds,03n,47,2.22,103,2.26,10000,0.0,0.0,0,n,3.1945788964181987,1.76,1.41,0.5233118971061095,0.0,0.0,,6.887890793524308,0
2,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 06:00:00,8.64,7.23,7.87,8.64,1014,1014,1009,91,Clouds,few clouds,02n,23,2.48,105,2.76,10000,0.0,0.0,0,n,3.4385285575992253,1.64,0.6900000000000001,0.5860128617363345,0.0,0.0,,6.354541419335559,0
3,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 09:00:00,11.77,11.04,11.77,11.77,1016,1016,1011,78,Clear,clear sky,01d,3,2.58,114,4.2,10000,0.0,0.0,0,d,2.700871248789932,1.12,0.09,0.6101286173633441,0.0,0.0,,4.520999866153276,0
4,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 12:00:00,15.35,14.48,15.35,15.35,1015,1015,1010,59,Clear,clear sky,01d,4,3.89,108,4.3,10000,0.0,0.0,0,d,2.034849951597289,0.36,0.12,0.9260450160771705,0.0,0.0,,3.4408949676744593,0
5,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 15:00:00,15.91,15.04,15.91,15.91,1013,1013,1008,57,Clouds,broken clouds,04d,64,4.05,113,4.99,10000,0.0,0.0,0,d,1.9264278799612777,0.28,1.92,0.9646302250803859,0.0,0.0,,5.091058105041664,0
6,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 18:00:00,11.43,10.8,11.43,11.43,1014,1014,1008,83,Rain,light rain,10n,82,4.1,95,6.82,10000,0.2,0.21,0,n,2.747337850919651,1.32,2.46,0.9766881028938907,0.0,0.11513157894736843,,7.6191575327609105,0
7,Mont Saint Michel,48.6359541,-1.511459955,2024-10-11 21:00:00,10.87,10.28,10.87,10.87,1013,1013,1008,87,Clouds,overcast clouds,04n,100,4.82,107,10.09,10000,0.0,0.0,0,n,2.8480154888673765,1.48,3.0,1.1503215434083602,0.0,0.0,,8.478337032275737,0
8,Mont Saint Michel,48.6359541,-1.511459955,2024-10-12 00:00:00,10.39,9.76,10.39,10.39,1012,1012,1006,87,Clouds,overcast clouds,04n,100,4.01,110,7.84,10000,0.0,0.0,0,n,2.9486931268151015,1.48,3.0,0.954983922829582,0.0,0.0,,8.383677049644684,0
9,Mont Saint Michel,48.6359541,-1.511459955,2024-10-12 03:00:00,10.64,10.03,10.64,10.64,1010,1010,1005,87,Clouds,overcast clouds,04n,100,4.04,118,8.14,10000,0.0,0.0,0,n,2.896418199419167,1.48,3.0,0.962218649517685,0.0,0.0,,8.33863684893685,0
